id	year	title	authors	ident	corpora
lakosemcs	2021	Embracing Modern C++ Safely	J. Lakos, V. Romeo, R. Khlebnikov & A. Meredith	Addison-Wesley, ISBN 978-0-13-738035-0	emb-cpp
lakoslsc	UNRESOLVED	Large-Scale C++ Software Design	J. Lakos		emb-arch,swe-process,emb-c
lakosvol1	2019	Large-Scale C++ Volume I: Process and Architecture	J. Lakos	ISBN 978-0-201-71706-8	swe-process
laplante	UNRESOLVED	Real-Time Systems Design and Analysis	P. LaPlante & S. Ovaska		emb-arch
largescale	living	Large-Scale Modeling documentation chapter	MathWorks		simulink
lattnerub	2011	What Every C Programmer Should Know About Undefined Behavior	C. Lattner		emb-c
ld	living	The GNU Linker (ld)	S. Chamberlain et al., GNU Project/FSF	sourceware.org/binutils/docs/ld	emb-ops
ldd3	2005	Linux Device Drivers, 3rd ed.	J. Corbet, A. Rubini & G. Kroah-Hartman	OReilly, ISBN 978-0-596-00590-0	emb-arch
ledin	2021	Architecting High-Performance Embedded Systems	J. Ledin	Packt, ISBN 978-1-78995-596-5	emb-arch
leecps	2008	Cyber-Physical Systems: Design Challenges	E.A. Lee		emb-arch
leeseshia	2017	Introduction to Embedded Systems: A Cyber-Physical Systems Approach, 2nd ed.	E.A. Lee & S.A. Seshia	MIT Press, ISBN 978-0-262-53381-2	emb-arch
levesonesw	UNRESOLVED	Engineering a Safer World (STAMP/STPA)	N. Leveson		emb-arch
levesonsafeware	UNRESOLVED	Safeware	N. Leveson		emb-arch
levine	1999	Linkers and Loaders	J.R. Levine	Morgan Kaufmann, ISBN 978-1-55860-496-4	emb-ops
liggesmeyer	UNRESOLVED	Trends in embedded software engineering	P. Liggesmeyer & M. Trapp		emb-arch
lippman	1996	Inside the C++ Object Model	S.B. Lippman	Addison-Wesley, ISBN 978-0-201-83454-3	emb-ops
liulayland	1973	Scheduling Algorithms for Multiprogramming in a Hard-Real-Time Environment	C.L. Liu & J.W. Layland	JACM 20(1):46-61, DOI 10.1145/321738.321743	emb-arch
liyao	UNRESOLVED	Real-Time Concepts for Embedded Systems	Q. Li & C. Yao		emb-arch
lld	living	LLD — The LLVM Linker	LLVM Project	lld.llvm.org	emb-ops
lldbdocs	living	LLDB documentation (remote debugging)	LLVM Project		emb-ops
llvmeh	living	Exception Handling in LLVM	The LLVM Project	llvm.org/docs/ExceptionHandling.html	emb-ops
mab	living	MAB Control Algorithm Modeling Guidelines	MathWorks Advisory Board		simulink,swe-process
mabdoc	living	MAB Modeling Guidelines documentation sections (Simulink/Stateflow/MATLAB Function rule sets)	MathWorks		simulink
maintdash	living	Model Maintainability Dashboard	MathWorks		simulink
malavolta	2013	What Industry Needs from Architectural Languages: A Survey	I. Malavolta, P. Lago, H. Muccini, P. Pelliccione & A. Tang	IEEE TSE 39(6):869-891	swa-science
marscode	2014	Mars Code	G.J. Holzmann	CACM 2014	emb-arch
martincleanarch	2017	Clean Architecture	R.C. Martin		emb-arch,swe-process,emb-c
martincleancode	UNRESOLVED	Clean Code	R.C. Martin		emb-arch,swe-process
marwedel	2021	Embedded System Design: Foundations of Cyber-Physical Systems, and the Internet of Things, 4th ed.	P. Marwedel	Springer, DOI 10.1007/978-3-030-60910-8	emb-arch
maskray	2022	All about... linker series (TLS, GOT, PLT, COMMON symbols)	F. Song (MaskRay)	maskray.me	emb-ops
maskraygc	UNRESOLVED	MaskRay posts on linker garbage collection and COMDAT/section groups	F. Song (MaskRay)		emb-ops
matlabci	living	Continuous Integration (CI) for MATLAB and Simulink	MathWorks	mathworks.com/solutions/continuous-integration.html	swe-process
matlabpkg	living	MATLAB packages/namespaces, classes/OOP guide, toolbox packaging docs	MathWorks		simulink,swe-process
matlabpublish	living	MATLAB Live Scripts & the publish workflow	MathWorks	mathworks.com/help/matlab/live-scripts-and-functions.html	swe-process
matlabtest	2023	MATLAB Test	MathWorks		simulink,swe-process
mcconnell	2004	Code Complete, 2nd ed.	S. McConnell	Microsoft Press, ISBN 978-0-7356-1967-8	emb-arch,swe-process
mcdcchilenski	1994	Applicability of Modified Condition/Decision Coverage to Software Testing	J.J. Chilenski & S.P. Miller	SEJ 9(5):193-200	emb-c,emb-cpp
mcdcnasa	2001	A Practical Tutorial on Modified Condition/Decision Coverage	K.J. Hayhurst et al.	NASA/TM-2001-210876	emb-c,emb-cpp
medtay	2000	A Classification and Comparison Framework for Software Architecture Description Languages	N. Medvidovic & R.N. Taylor	IEEE TSE 26(1):70-93	swa-science
medvidovicuml	2002	Modeling Software Architectures in the Unified Modeling Language	N. Medvidovic, D.S. Rosenblum, D.F. Redmiles & J.E. Robbins	ACM TOSEM 11(1):2-57	swa-science
memfaultea	living	Memfault Interrupt / Embedded Artistry canonical guides	Memfault; Embedded Artistry		emb-arch
memfaultsize	UNRESOLVED	Code Size Optimization: GCC Flags	Memfault Interrupt blog		emb-ops
mergedocs	living	Resolve Conflicts Using Simulink Three-Way Merge / Customize External Source Control	MathWorks		simulink,swe-process
metricsdash	living	Metrics Dashboard	MathWorks		simulink
meyerseffcpp	2005	Effective C++, 3rd ed.	S. Meyers	Addison-Wesley	emb-cpp,emb-arch
meyerseffmod	2014	Effective Modern C++	S. Meyers	OReilly	emb-cpp,emb-arch
meyersembedded	2015	Effective C++ in an Embedded Environment (Presentation Materials)	S. Meyers	Artima Press	emb-cpp
mismatch09	2009	Architectural Mismatch: Why Reuse Is Still So Hard	D. Garlan, R. Allen & J. Ockerbloom	IEEE Software 26(4):66-69	swa-science
mismatch95	1995	Architectural Mismatch: Why Reuse Is So Hard	D. Garlan, R. Allen & J. Ockerbloom	IEEE Software 12(6):17-26	swa-science
misrac	2025	MISRA C (C:2012 3rd ed. 2013; +AMD1-3; consolidated C:2023; C:2025)	MISRA Consortium		emb-arch,emb-c,swe-process
misracompliance	2020	MISRA Compliance:2020	MISRA Consortium		emb-c
misracpp2008	2008	MISRA C++:2008	MISRA Consortium		emb-arch,emb-cpp,swe-process
misracpp2023	2023	MISRA C++:2023	MISRA Consortium		emb-arch,emb-cpp,swe-process
misragmg	2023	MISRA AC GMG:2023 — Generic Modelling Design and Style Guidelines	MISRA Consortium	ISBN 978-1-911700-04-3	simulink
misraslsf	2023	MISRA AC SLSF:2023 — Modelling design and style guidelines for Simulink and Stateflow	MISRA Consortium	ISBN 978-1-911700-06-7	simulink
modelcompare	living	Model Comparison docs (Comparison Tool, visdiff, Three-Way Merge Tool)	MathWorks		simulink,swe-process
modm	living	modm HAL / lbuild generator	N. Hauser et al.	modm.io	emb-cpp
molloy	UNRESOLVED	Exploring BeagleBone / Exploring Raspberry Pi	D. Molloy		emb-arch
moriconi	1995	Correct Architecture Refinement	M. Moriconi, X. Qian & R.A. Riemenschneider	IEEE TSE 21(4):356-372	swa-science
mwcodingguide	living	MATLAB Coding Guidelines (mathworks/MATLAB-Coding-Guidelines)	MathWorks	GitHub	simulink,swe-process
naturaldocs	living	Natural Docs	G. Valure	naturaldocs.org	emb-c
nesc	2003	The nesC Language: A Holistic Approach to Networked Embedded Systems	D. Gay et al.	PLDI 2003	emb-arch
newlib	living	newlib / newlib-nano documentation	newlib project		emb-ops
nigeljones	UNRESOLVED	A 'C' Test: The 0x10 Best Questions for Would-be Embedded Programmers	N. Jones		emb-c
noblesmallmem	2000	Small Memory Software: Patterns for Systems with Limited Memory	J. Noble & C. Weir	Addison-Wesley, ISBN 978-0-201-59607-6	emb-arch,emb-c
noergaard	2013	Embedded Systems Architecture: A Comprehensive Guide for Engineers and Programmers	T. Noergaard	Newnes, ISBN 978-0-12-382196-6	emb-arch
nordicacademy	living	Nordic Semiconductor / Zephyr DevAcademy	Nordic Semiconductor		emb-arch
nygard	UNRESOLVED	Release It!	M. Nygard		emb-arch
nygardadr	2011	Documenting Architecture Decisions	M. Nygard	cognitect.com/blog/2011/11/15/documenting-architecture-decisions	swe-process
omgspecs	living	OMG specifications: MARTE, SysML, DDS	OMG		emb-arch
openocd	living	OpenOCD User's Guide	Open On-Chip Debugger project	openocd.org	emb-ops
oreizy	1998	Architecture-Based Runtime Software Evolution	P. Oreizy, N. Medvidovic & R.N. Taylor	Proc. ICSE 98 pp.177-186	swa-science
oshana	2019	Software Engineering for Embedded Systems, 2nd ed.	R. Oshana & M. Kraeling (eds.)	Newnes, ISBN 978-0-12-809448-8	emb-arch
osstyleguides	living	Zephyr / FreeRTOS / Apache NuttX / ESP-IDF coding guidelines; ARM CMSIS API conventions	Various projects		emb-c,swe-process
ousterhout	UNRESOLVED	A Philosophy of Software Design	J. Ousterhout		emb-arch
p0568	2017	P0568 Towards Better Embedded programming support for C++	WG21 SG14		emb-cpp
p0709	2019	P0709 Zero-overhead deterministic exceptions: Throwing values	H. Sutter (WG21)	open-std.org	emb-cpp
p0829	2019	P0829 Freestanding Proposal	B. Craig (WG21)		emb-cpp
p1028	2020	P1028 SG14 status_code and standard error object	N. Douglas (WG21)		emb-cpp
p1105	2019	P1105 Leaving no room for a lower-level language: A C++ Subset	B. Craig & B. Saks (WG21)		emb-cpp
p2198	UNRESOLVED	P2198 Freestanding Feature-Test Macros and Implementation-Defined Extensions	B. Craig (WG21)		emb-cpp
p2232	2021	P2232 Zero-Overhead Deterministic Exceptions: Catching Values	WG21		emb-cpp
p2268	UNRESOLVED	P2268 Freestanding Roadmap	B. Craig (WG21)		emb-cpp
p2338	UNRESOLVED	P2338 Freestanding Library: Character primitives and the C library	WG21		emb-cpp
p2739	2022	P2739 A call to action: Think seriously about safety; then do something sensible about it	B. Stroustrup (WG21)		emb-cpp
p2816	2023	P2816 Safety Profiles: Type-and-resource safe programming in ISO standard C++	B. Stroustrup & G. Dos Reis (WG21)		emb-cpp
p3081	2025	P3081 Core safety Profiles: Specification, adoptability, and impact	H. Sutter (WG21)		emb-cpp
parnas72	1972	On the Criteria To Be Used in Decomposing Systems into Modules	D.L. Parnas	CACM 15(12):1053-1058	swa-science,swe-process,emb-arch,emb-c
parnas74	1974	On a 'Buzzword': Hierarchical Structure	D.L. Parnas	Proc. IFIP Congress 74	swa-science
parnas79	1979	Designing Software for Ease of Extension and Contraction	D.L. Parnas	IEEE TSE SE-5(2):128-138	swa-science
parnasclements	1986	A Rational Design Process: How and Why to Fake It	D.L. Parnas & P.C. Clements	IEEE TSE SE-12(2):251-257	swa-science,swe-process
peckol	UNRESOLVED	Embedded Systems: A Contemporary Design Tool	J. Peckol		emb-arch
pep20	living	The Zen of Python (PEP 20)	T. Peters	PEP 20; peps.python.org/pep-0020/	swe-process
pep257	living	Docstring Conventions (PEP 257)	D. Goodger & G. van Rossum	PEP 257; peps.python.org/pep-0257/	swe-process
pep517	2015	PEP 517 — A build-system independent format for source trees	N.J. Smith & T. Kluyver	PEP 517; peps.python.org/pep-0517/	swe-process
pep518	2016	PEP 518 — Specifying Minimum Build System Requirements	B. Cannon, N.J. Smith & D. Stufft	PEP 518; peps.python.org/pep-0518/	swe-process
pep621	2020	PEP 621 — Storing project metadata in pyproject.toml	B. Cannon et al.	PEP 621; peps.python.org/pep-0621/	swe-process
pep8	living	Style Guide for Python Code (PEP 8)	G. van Rossum, B. Warsaw & A. Coghlan	PEP 8; peps.python.org/pep-0008/	swe-process
pep8eyetracking	2024	Assessing Python Style Guides: An Eye-Tracking Study with Novice Developers	P. Roberto, R. Gheyi, J.A. Silva da Costa & M. Ribeiro	arXiv:2408.14566	swe-process
perrywolf	1992	Foundations for the Study of Software Architecture	D.E. Perry & A.L. Wolf	ACM SIGSOFT SEN 17(4):40-52	swa-science
piadl	2004	pi-ADL: an ADL based on the higher-order typed pi-calculus for dynamic and mobile architectures	F. Oquendo	ACM SIGSOFT SEN 29(3):1-14	swa-science
picolibc	2023	Picolibc documentation	K. Packard / picolibc project	github.com/picolibc/picolibc	emb-ops
pigweedcpp	living	Embedded C++ Guide and C++ style guide (Pigweed)	Google Pigweed	pigweed.dev	emb-cpp
pigweedrefdoc	living	Pigweed reference-documentation conventions for C++	Google Pigweed		emb-cpp
pigweedsdk	living	Pigweed SDK / build-system integrations (Bazel, GN, CMake)	Google	pigweed.dev	emb-cpp
pitchfork	living	The Pitchfork Layout (PFL)	C. Pike (vector-of-bool)	github.com/vector-of-bool/pitchfork	swe-process
pont	2001	Patterns for Time-Triggered Embedded Systems	M.J. Pont		emb-arch
posa2	UNRESOLVED	Pattern-Oriented Software Architecture Vol. 2: Patterns for Concurrent and Networked Objects	D. Schmidt et al.		emb-arch
posa3	UNRESOLVED	Pattern-Oriented Software Architecture Vol. 3: Patterns for Resource Management	M. Kircher & P. Jain		emb-arch
posch	2019	Hands-On Embedded Programming with C++17	M. Posch	Packt, ISBN 9781788629300	emb-cpp
potvinmonorepo	2016	Why Google Stores Billions of Lines of Code in a Single Repository	R. Potvin & J. Levenberg	DOI 10.1145/2854146; CACM 59(7):78-87	swe-process
pragprog	UNRESOLVED	The Pragmatic Programmer	A. Hunt & D. Thomas		emb-arch
precommit	living	pre-commit (hook framework)	A. Sottile	pre-commit.com	emb-c,swe-process
preschern	2022	Fluent C: Principles, Practices, and Patterns	C. Preschern	OReilly, 2022-11-22, ISBN 978-1492097334	emb-c
preschernplop	UNRESOLVED	Patterns for... EuroPLoP/PLoP pattern-paper series (organizing files; returning error information)	C. Preschern		emb-c
pretschner	2007	Software Engineering for Automotive Systems: A Roadmap	A. Pretschner et al.	FOSE 2007	emb-arch
probetools	living	probe-rs documentation; pyOCD docs; Black Magic Probe docs	probe-rs; pyOCD; 1BitSquared		emb-ops
profcmake	living	Professional CMake: A Practical Guide	C. Scott	crascit.com/professional-cmake/	swe-process
progit	2014	Pro Git, 2nd ed.	S. Chacon & B. Straub	ISBN 978-1-4842-0076-6; git-scm.com/book	swe-process
projects	living	Simulink Projects / MATLAB Projects docs	MathWorks		simulink,swe-process
protothreads	2006	Protothreads: Simplifying Event-Driven Programming of Memory-Constrained Embedded Systems	A. Dunkels et al.	SenSys 2006	emb-arch
puncover	living	puncover	H. Behrens	github.com/HBehrens/puncover	emb-ops
pwbloat	living	pw_bloat memory-report module	Google Pigweed		emb-cpp
pwunittest	living	pw_unit_test	Google Pigweed		emb-cpp
px4ardu	living	PX4 / ArduPilot architecture docs	PX4; ArduPilot projects		emb-arch
pylint	living	Pylint	pylint-dev	pylint.readthedocs.io	swe-process
pypackaging	living	Python Packaging User Guide	PyPA	packaging.python.org	swe-process
qnxguide	living	QNX architecture guide	QNX/BlackBerry		emb-arch
qoc	1991	Questions, Options, and Criteria: Elements of Design Space Analysis (QOC)	A. MacLean, R.M. Young, V.M.E. Bellotti & T.P. Moran	HCI 6(3-4):201-250	swa-science
qpc	living	QP/C real-time embedded framework	Quantum Leaps (M. Samek)	state-machine.com	emb-c
qpcpp	living	QP/C++ Real-Time Embedded Framework + QM modeler	Quantum Leaps (M. Samek)	state-machine.com	emb-cpp
rainbow	2004	Rainbow: Architecture-Based Self-Adaptation with Reusable Infrastructure	D. Garlan, S.-W. Cheng, A.-C. Huang, B. Schmerl & P. Steenkiste	IEEE Computer 37(10):46-54	swa-science
rami40	living	RAMI 4.0	Plattform Industrie 4.0		emb-arch
rapide	1995	Specification and Analysis of System Architecture Using Rapide	D.C. Luckham, J.J. Kenney, L.M. Augustin, J. Vera, D. Bryan & W. Mann	IEEE TSE 21(4):336-355	swa-science
rcda	2012	RCDA: Architecting as a risk- and cost management discipline	E.R. Poort & H. van Vliet	JSS 85(9):1995-2013	swa-science
refmodels	living	Reference Existing Models & model-reference workflow docs	MathWorks		simulink
regehrub	UNRESOLVED	A Guide to Undefined Behavior in C and C++	J. Regehr		emb-c
renwick	2019	Low-cost deterministic C++ exceptions for embedded systems	J. Renwick, T. Spink & B. Franke	CC 19 pp.76-86, DOI 10.1145/3302516.3307346	emb-cpp
replicability	2023	Replicability Study: Corpora For Understanding Simulink Models & Projects	S.L. Shrestha, S.A. Chowdhury & C. Csallner	arXiv:2308.01978	simulink
reqtoolbox	living	Requirements Toolbox documentation	MathWorks		simulink
richardsford	UNRESOLVED	Fundamentals of Software Architecture	M. Richards & N. Ford		emb-arch
rierson	2013	Developing Safety-Critical Software: A Practical Guide for Aviation Software and DO-178C Compliance	L. Rierson	CRC Press, ISBN 978-1-4398-1368-3	emb-arch
rigbybird	2013	Convergent Contemporary Software Peer Review Practices	P.C. Rigby & C. Bird	DOI 10.1145/2491411.2491444	swe-process
riot	2018	RIOT: An Open Source Operating System for Low-End Embedded Devices in the IoT	E. Baccelli et al.		emb-arch
rittelwebber	1973	Dilemmas in a General Theory of Planning	H.W.J. Rittel & M.M. Webber	Policy Sciences 4(2):155-169	swa-science
room	1994	Real-Time Object-Oriented Modeling (ROOM)	B. Selic, G. Gullekson & P. Ward	Wiley	emb-arch
ros2design	living	ROS 2 design docs	Open Robotics		emb-arch
rozanski	2011	Software Systems Architecture: Working with Stakeholders Using Viewpoints and Perspectives, 2nd ed.	N. Rozanski & E. Woods	Addison-Wesley	swa-science,emb-arch
ruff	living	Ruff — an extremely fast Python linter and formatter	Astral	docs.astral.sh/ruff	swe-process
rushby	UNRESOLVED	Partitioning in avionics architectures (SRI/NASA report)	J. Rushby		emb-arch
saam	1994	SAAM: A Method for Analyzing the Properties of Software Architectures	R. Kazman, G. Abowd, L. Bass & M. Webb	Proc. ICSE 94	swa-science
sadowskigoogle	2018	Modern Code Review: A Case Study at Google	C. Sadowski, E. Soderberg, L. Church, M. Sipko & A. Bacchelli	ICSE-SEIP 2018, DOI 10.1145/3183519.3183525	emb-c,swe-process
sae2010	2010	Large-Scale Modeling for Embedded Applications	MathWorks	SAE 2010-01-0938	simulink
saksbtb	UNRESOLVED	Back to Basics CppCon talks	B. Saks & D. Saks		emb-cpp
sakscolumns	UNRESOLVED	Dan Saks embedded.com columns on memory-mapped devices in C and C++	D. Saks		emb-cpp,emb-c
samekbook	2008	Practical UML Statecharts in C/C++: Event-Driven Programming for Embedded Systems, 2nd ed.	M. Samek	Newnes, ISBN 978-0-7506-8706-5	emb-arch,emb-c,emb-cpp
samekcourse	living	Modern Embedded Systems Programming video course + QP framework docs	M. Samek (Quantum Leaps)	state-machine.com	emb-arch,emb-c,emb-ops
schaeuffele	UNRESOLVED	Automotive Software Engineering	J. Schaeuffele & T. Zurawka		emb-arch
schreiner	2011	Object-Oriented Programming with ANSI-C	A.-T. Schreiner		emb-c
scrumguide	living	The Scrum Guide	K. Schwaber & J. Sutherland	scrumguides.org	swe-process
seacordeffc	2024	Effective C, 2nd ed.	R.C. Seacord	No Starch Press	emb-c
seacordsecure	2013	Secure Coding in C and C++, 2nd ed.	R.C. Seacord	Addison-Wesley	emb-c
segger	UNRESOLVED	SEGGER J-Link User Guide (UM08001), SystemView (UM08027), RTT documentation	SEGGER		emb-ops
sel4	2009	seL4: Formal Verification of an OS Kernel	G. Klein et al.	SOSP 2009	emb-arch
semihosting	2020	Semihosting for AArch32 and AArch64	Arm Ltd (ABI-AA)	github.com/ARM-software/abi-aa	emb-ops
semver	living	Semantic Versioning (SemVer 2.0.0)	T. Preston-Werner	semver.org	swe-process
sfm	2003	Formal Methods for Software Architectures (SFM 2003)	M. Bernardo & P. Inverardi (eds.)	Springer LNCS 2804	swa-science
shaw01	2001	The Coming-of-Age of Software Architecture Research	M. Shaw	Proc. ICSE 2001	swa-science
shawgarlan96	1996	Software Architecture: Perspectives on an Emerging Discipline	M. Shaw & D. Garlan	Prentice Hall	swa-science,emb-arch
siewert	UNRESOLVED	Real-Time Embedded Components and Systems with Linux and RTOS	S. Siewert & J. Pratt		emb-arch
signaltyping	living	Simulink signal naming/typing guidance (MAB signal rules; data-type propagation)	MathWorks Advisory Board / MathWorks		simulink
simmonds	2021	Mastering Embedded Linux Programming, 3rd ed.	C. Simmonds (w/ F. Vasquez)	Packt, ISBN 978-1-78953-038-4	emb-arch,emb-ops
simon96	1996	The Sciences of the Artificial, 3rd ed.	H.A. Simon	MIT Press	swa-science
slcheck	living	Simulink Check docs (Model Advisor, MAB/JMAAB checks)	MathWorks		simulink
slcoverage	living	Simulink Coverage docs (incl. MC/DC)	MathWorks		simulink
slnet	2022	SLNET: A Redistributable Corpus of 3rd-party Simulink Models	S.L. Shrestha, S.A. Chowdhury & C. Csallner	MSR 2022, arXiv:2203.17112	simulink
sloss	UNRESOLVED	ARM System Developer's Guide	A. Sloss, D. Symes & C. Wright		emb-arch
sltest	living	Simulink Test docs + Continuous Integration	MathWorks		simulink,swe-process
smitconventions	2011	Maintainability and Source Code Conventions: An Analysis of Open Source Projects	M. Smit, B. Gergel, H.J. Hoover & E. Stroulia	Univ. of Alberta TR11-06	swe-process
sphinx	living	Sphinx documentation generator	Sphinx team	sphinx-doc.org	swe-process
sple	2001	Software Product Lines: Practices and Patterns	P. Clements & L. Northrop	Addison-Wesley	swa-science
sqlitetesting	living	How SQLite Is Tested	SQLite project		emb-c
staron	2021	Automotive Software Architectures: An Introduction, 2nd ed.	M. Staron	Springer, ISBN 978-3-030-65938-7	emb-arch
stephancordy	2015	Identification of Simulink Model Antipattern Instances Using Model Clone Detection	M. Stephan & J. Cordy	MODELS 2015 pp.276-285	simulink
stevanovic	2014	Advanced C and C++ Compiling	M. Stevanovic	Apress, ISBN 978-1-4302-6667-9	emb-ops
storey	UNRESOLVED	Safety-Critical Computer Systems	N. Storey		emb-arch
stroustruptour	2022	A Tour of C++, 3rd ed. (C++20)	B. Stroustrup	Addison-Wesley	emb-cpp
svincentelli	UNRESOLVED	Platform-based design papers	A. Sangiovanni-Vincentelli		emb-arch
swebok	2024	Guide to the Software Engineering Body of Knowledge (SWEBOK v4.0)	H. Washizaki (ed.)	SWEBOK v4.0; IEEE Computer Society	swe-process
syscompbp	living	Best Practices for Large-Scale Architecture Modeling	MathWorks (System Composer doc)		simulink
syscomposer	living	System Composer documentation	MathWorks		simulink
tactics	2003	Deriving Architectural Tactics: A Step Toward Methodical Architectural Design	F. Bachmann, L. Bass & M. Klein	SEI CMU/SEI-2003-TR-004	swa-science
tangjinhan	2007	A rationale-based architecture model for design traceability and reasoning	A. Tang, Y. Jin & J. Han	JSS 80(6):918-934	swa-science
tangrazavian	UNRESOLVED	Empirical studies on software design reasoning and reflection	A. Tang, M. Razavian et al.		swa-science
tangsurvey06	2006	A survey of architecture design rationale	A. Tang, M.A. Babar, I. Gorton & J. Han	JSS 79(12):1792-1804	swa-science
targetlink	living	dSPACE TargetLink	dSPACE GmbH		simulink
taylorlinkers	2007	Linkers (20-part series)	I.L. Taylor	airs.com/blog	emb-ops
techdebt19	2019	Managing Technical Debt: Reducing Friction in Software Development	P. Kruchten, R. Nord & I. Ozkaya	Addison-Wesley SEI, ISBN 9780135645932	swa-science
thinlto	living	ThinLTO documentation	Clang/LLVM Project	clang.llvm.org/docs/ThinLTO.html	emb-ops
thinltoblog	2016	ThinLTO: Scalable and Incremental LTO (blog + LLVM Dev Meeting 2016 talk)	T. Johnson, M. Amini & D. Li	blog.llvm.org	emb-ops
tinyos	2000	System Architecture Directions for Networked Sensors	J. Hill, R. Szewczyk, A. Woo, S. Hollar, D. Culler & K. Pister	ASPLOS 2000 pp.93-104	emb-arch
tlsf	2004	TLSF: a New Dynamic Memory Allocator for Real-Time Systems	M. Masmano, I. Ripoll, A. Crespo & J. Real	ECRTS 2004 pp.79-88, DOI 10.1109/ECRTS.2004.35	emb-ops
tmd	2010	Software Architecture: Foundations, Theory, and Practice	R.N. Taylor, N. Medvidovic & E.M. Dashofy	Wiley, ISBN 978-0470167748	swa-science,emb-arch
tornhill	UNRESOLVED	Patterns in C	A. Tornhill		emb-c
tr18015	2006	ISO/IEC TR 18015:2006 — Technical Report on C++ Performance	ISO/IEC JTC1/SC22/WG21 (ed. L. Goldthwaite)	open-std.org 18015	emb-cpp
trompeloeil	living	trompeloeil	B. Fahller	github.com/rollbear/trompeloeil	emb-cpp
trunkbased	living	Trunk-Based Development	P. Hammant et al.	trunkbaseddevelopment.com	swe-process
turnerc64	2016	Rich Code for Tiny Computers: A Simple Commodore 64 Game in C++17	J. Turner		emb-cpp
uncrustify	living	Uncrustify (source beautifier)	uncrustify project	github.com/uncrustify/uncrustify	emb-c,swe-process
unity	living	Unity (xUnit-style unit-test framework for C)	ThrowTheSwitch.org	github.com/ThrowTheSwitch/Unity	emb-c
vab	2010	Documenting Software Architectures: Views and Beyond, 2nd ed.	P. Clements, F. Bachmann, L. Bass, D. Garlan, J. Ivers, R. Little, P. Merson, R. Nord & J. Stafford	Addison-Wesley	swa-science,emb-arch
vahidgivargis	2002	Embedded System Design: A Unified Hardware/Software Introduction	F. Vahid & T. Givargis	Wiley	emb-arch
vanooijentalk	2014	Objects? No Thanks!	W. van Ooijen		emb-cpp
vanvliettang	2016	Decision making in software architecture	H. van Vliet & A. Tang	JSS 117:638-644	swa-science
viarheichyk	2020	Embedded Programming with Modern C++ Cookbook	I. Viarheichyk	Packt	emb-cpp
vxthreadx	living	VxWorks / ThreadX documentation	Wind River; Eclipse ThreadX		emb-arch
walls	UNRESOLVED	Embedded Software: The Works	C. Walls	Newnes	emb-arch
wangrt	UNRESOLVED	Real-Time Embedded Systems	K.C. Wang	Wiley	emb-arch
wardmellor	UNRESOLVED	Structured Development for Real-Time Systems	P. Ward & S. Mellor		emb-arch
weinreich	2016	Software architecture knowledge management approaches and their support for knowledge management activities: A systematic literature review	R. Weinreich & I. Groher	IST 80:265-286	swa-science
weyns	2020	An Introduction to Self-Adaptive Systems: A Contemporary Software Engineering Perspective	D. Weyns	Wiley/IEEE	swa-science
white	2024	Making Embedded Systems: Design Patterns for Great Software	E. White	OReilly, ISBN 9781098151546	emb-arch,emb-cpp,emb-c
wiegers	2002	Peer Reviews in Software: A Practical Guide	K.E. Wiegers	Addison-Wesley, ISBN 978-0201734850	emb-c,swe-process
wilsonsurvey	1995	Dynamic Storage Allocation: A Survey and Critical Review	P. Wilson, M. Johnstone, M. Neely & D. Boles		emb-ops
wolf5	2022	Computers as Components: Principles of Embedded Computing System Design, 5th ed.	M. Wolf	Morgan Kaufmann, ISBN 978-0-323-85128-2	emb-arch
wright	1997	A Formal Basis for Architectural Connection (Wright, CSP semantics)	R. Allen & D. Garlan	ACM TOSEM 6(3):213-249	swa-science
xpexplained	2004	Extreme Programming Explained: Embrace Change, 2nd ed.	K. Beck & C. Andres	ISBN 978-0-321-27865-4	swe-process
yaghmour	UNRESOLVED	Building Embedded Linux Systems	K. Yaghmour et al.	OReilly	emb-arch
yiu	2013	The Definitive Guide to ARM Cortex-M3 and Cortex-M4 Processors, 3rd ed.	J. Yiu	Newnes, ISBN 978-0-12-408082-9	emb-arch,emb-c,emb-cpp
zannier	2007	A model of design decision making based on empirical results of interviews with software designers	C. Zannier, M. Chiasson & F. Maurer	IST 49(6):637-653	swa-science
zephyrdocs	living	Zephyr Project documentation	Zephyr Project		emb-arch
zephyrlinker	living	Zephyr docs on linker scripts / code relocation	Zephyr Project		emb-ops
zerotomain	2019	From Zero to main() series	F. Baldassari et al.	interrupt.memfault.com	emb-ops
zhang	2010	A Classification and Comparison of Model Checking Software Architecture Techniques	P. Zhang, H. Muccini & B. Li	JSS 83(5):723-744	swa-science
zimmermann	2007	Reusable Architectural Decision Models for Enterprise Application Development	O. Zimmermann et al.	Proc. QoSA 2007	swa-science
